n,score,k,angle_0,angle_1,dir_1,angle_2,dir_2
1,0.924808591681131,2,20.75752865474324,66.48177834460444,46.18051236518406,,
2,0.4921097731240279,2,20.75752865474324,66.48177834460444,46.18051236518406,,
3,0.48172033614339727,3,113.27964155513685,60.56499229487301,97.23526964032104,14.049202620186467,169.84640816523526
4,0.5487754610763901,2,0.0,155.0,95.0,,
5,0.634070356074099,3,40.0,80.0,40.0,120.0,20.0
6,0.5283919633950825,3,40.0,80.0,40.0,120.0,20.0
7,0.5530099156975206,2,20.0,65.0,40.0,,
8,0.4838836762353305,2,20.0,65.0,40.0,,
9,0.5385012850318986,3,60.0,120.0,0.0,60.0,0.0
10,0.5708747286566856,2,0.1540154153849218,179.36873278013857,108.7794855936405,,
11,0.5189770260515324,2,0.1540154153849218,179.36873278013857,108.7794855936405,,
12,0.475728940547238,2,0.1540154153849218,179.36873278013857,108.7794855936405,,
13,0.5989841146313927,2,46.10269520552959,133.30433224626265,16.748299825781494,,
14,0.5561995350148646,2,46.10269520552959,133.30433224626265,16.748299825781494,,
15,0.5191195660138737,2,46.10269520552959,133.30433224626265,16.748299825781494,,
16,0.48667459313800654,2,46.10269520552959,133.30433224626265,16.748299825781494,,
17,0.49677466402560216,2,20.0,65.0,40.0,,
18,0.46917607157973534,2,20.0,65.0,40.0,,
19,0.5234187281348783,2,60.0,120.0,10.0,,
20,0.4972477917281344,2,60.0,120.0,10.0,,
21,0.49564663668042847,2,0.0,180.0,115.0,,
22,0.4731172441040453,2,0.0,180.0,115.0,,
23,0.4525469291429999,2,0.0,180.0,115.0,,
24,0.4336908070953749,2,0.0,180.0,115.0,,
25,0.48703141668943933,3,120.0,80.0,80.0,160.0,160.0
26,0.4682994391244609,3,120.0,80.0,80.0,160.0,160.0
27,0.45095501545318456,3,120.0,80.0,80.0,160.0,160.0
28,0.46961298555191355,2,3.4725625835739264,176.3247103392385,107.0475503004618,,
29,0.4534194343259855,2,3.4725625835739264,176.3247103392385,107.0475503004618,,
30,0.438305453181786,2,3.4725625835739264,176.3247103392385,107.0475503004618,,
31,0.4676364756823418,2,105.0,75.0,45.0,,
32,0.4530228358172686,2,105.0,75.0,45.0,,
33,0.4860918782234432,3,100.0,20.0,160.0,60.0,100.0
34,0.47179505827569485,3,100.0,20.0,160.0,60.0,100.0
35,0.45831519946781785,3,100.0,20.0,160.0,60.0,100.0
36,0.4455842217048229,3,100.0,20.0,160.0,60.0,100.0
37,0.4518220634517757,2,114.64852196199091,67.70638654310729,153.7453725372864,,
38,0.4399320091504132,2,114.64852196199091,67.70638654310729,153.7453725372864,,
39,0.4286517012234795,2,114.64852196199091,67.70638654310729,153.7453725372864,,
40,0.41793540869289253,2,114.64852196199091,67.70638654310729,153.7453725372864,,
41,0.47338489569616726,2,55.154120671480804,123.41271210825582,167.8127477017441,,
42,0.4621138267510204,2,55.154120671480804,123.41271210825582,167.8127477017441,,
43,0.4699449687884415,3,100.0,140.0,100.0,180.0,120.0
44,0.45926440131597696,3,100.0,140.0,100.0,180.0,120.0
